SupplyNode,PlantLocation,Feedstock,FlowTons,Distance_km,,,,,,,,,,,,,
CLUSTER_153,A,horse_man,1262.5,16.2610462,,,15859052.83,,,,,,,,,,
CLUSTER_153,A,pig_man,71.88691,16.2610462,,,0.394405563,,,,,,,,,,
CLUSTER_154,A,horse_man,347.6,34.04226306,,,,,,,,,,,,,
CLUSTER_154,A,pig_man,309.885,34.04226306,,,,,,,,,,,,,
CLUSTER_156,A,horse_man,1144.7,72.55621683,,,Man/Slu share,Energy Wise,,,,,,,,,
CLUSTER_16,A,cattle_man,11750.6,39.62219624,,,93%,0.730551279,,,,,,,,,
CLUSTER_16,A,horse_man,1532.4,39.62219624,,,,,,,,,,,,,
CLUSTER_16,A,pig_man,563.7029,39.62219624,,,,,,,,,,,,,
CLUSTER_160,A,cattle_man,5620,24.83963004,,,,,,,,,,,,,
CLUSTER_160,A,horse_man,2174.2,24.83963004,,2.7,,,,,,,,,,,
CLUSTER_160,A,pig_man,238.759,24.83963004,,,,,,,,,,,,,
CLUSTER_161,A,pig_man,1184,49.52190812,,,,,,,,,,,,,
CLUSTER_177,A,horse_man,285.4,58.26808477,,,,,,,,,,,,,
CLUSTER_181,A,cattle_man,10934.199,27.65471561,,,,,,,,,,,,,
CLUSTER_181,A,horse_man,824.1,27.65471561,,,,,,,,,,,,,
CLUSTER_181,A,pig_man,1482.4,27.65471561,,,,,,,,,,,,,
CLUSTER_188,A,pig_man,27.346,63.80669792,,,,,,,,,,,,,
CLUSTER_194,A,cattle_man,4180.5,28.63953756,,,,,,,,,,,,,
CLUSTER_194,A,horse_man,974.4,28.63953756,,,,,,,,,,,,,
CLUSTER_194,A,pig_man,308.943,28.63953756,,,,,,,,,,,,,
CLUSTER_200,A,horse_man,797.9,64.39901864,,,,,,,,,,,,,
CLUSTER_217,A,pig_man,542.22,44.87458106,,,,,,,,,,,,,
CLUSTER_222,A,cattle_man,794.6,35.37141403,,,,,,,,,,,,,
CLUSTER_222,A,horse_man,643.3,35.37141403,,,,,,,,,,,,,
CLUSTER_222,A,pig_man,43.141,35.37141403,,,,,,,,,,,,,
CLUSTER_24,A,cattle_man,15326,31.24554814,,,,,,,,,,,,,
CLUSTER_24,A,horse_man,1586.5,31.24554814,,,,,,,,,,,,,
CLUSTER_24,A,pig_man,438.94,31.24554814,,,,,,,,,,,,,
CLUSTER_242,A,cattle_man,11300,27.17827686,,,,,,,,,,,,,
CLUSTER_242,A,horse_man,850,27.17827686,,,,,,,,,,,,,
CLUSTER_242,A,pig_man,257.9398,27.17827686,,,,,,,,,,,,,
CLUSTER_246,A,cattle_man,2279.3,48.30018227,,,,,,,,,,,,,
CLUSTER_246,A,horse_man,1160.4,48.30018227,,,,,,,,,,,,,
CLUSTER_246,A,pig_man,400.322,48.30018227,,,,,,,,,,,,,
CLUSTER_247,A,cattle_man,2871,45.91237106,,,,,,,,,,,,,
CLUSTER_247,A,horse_man,632,45.91237106,,,,,,,,,,,,,
CLUSTER_251,A,horse_man,239.3,61.38800057,,,,,,,,,,,,,
CLUSTER_272,A,cattle_man,3166.9,34.43574956,,,,,,,,,,,,,
CLUSTER_272,A,horse_man,1033,34.43574956,,,,,,,,,,,,,
CLUSTER_277,A,horse_man,872.3,63.28409704,,,,,,,,,,,,,
CLUSTER_283,A,cattle_man,4490.4,31.57718298,,,,,,,,,,,,,
CLUSTER_283,A,horse_man,349.112,31.57718298,,,,,,,,,,,,,
CLUSTER_283,A,pig_man,1637.37,31.57718298,,,,,,,,,,,,,
CLUSTER_289,A,cattle_man,2928.51287,4.093974123,,,,,,,,,,,,,
CLUSTER_289,A,cattle_slu,21630,4.093974123,,,,,,,,,,,,,
CLUSTER_289,A,horse_man,747.4,4.093974123,,,,,,,,,,,,,
CLUSTER_289,A,pig_man,222.68,4.093974123,,,,,,,,,,,,,
CLUSTER_289,A,pig_slu,3354.6,4.093974123,,,,,,,,,,,,,
CLUSTER_293,A,cattle_man,4637,40.5953638,,,,,,,,,,,,,
CLUSTER_293,A,horse_man,504,40.5953638,,,,,,,,,,,,,
CLUSTER_293,A,pig_man,338.2269,40.5953638,,,,,,,,,,,,,
CLUSTER_298,A,cattle_man,6560,17.33000388,,,,,,,,,,,,,
